SCC001,Veg Soup, veg ,Veg Hot & Sour Soup,75,https://rahool.in/temp/sct/src/webp/1sw_Veg Hot & Sour Soup.webp,
SCC002,Veg Soup, veg ,Veg Sweet Corn Soup,70,https://rahool.in/temp/sct/src/webp/2sw_Veg Sweet Corn Soup.webp,
SCC003,Veg Soup, veg ,Veg Manchow Soup,80,https://rahool.in/temp/sct/src/webp/3sw_Veg Manchow Soup.webp,
SCC004,Veg Soup, veg ,Veg Coriander Soup,70,https://rahool.in/temp/sct/src/webp/4sw_Veg Coriander Soup.webp,
SCC005,Veg Soup, veg ,Tomato Soup,65,https://rahool.in/temp/sct/src/webp/5sw_Tomato Soup.webp,
SCC006,Non Veg Soup,non-veg,Chicken Hot & Sour Soup,80,https://rahool.in/temp/sct/src/webp/6sw_Chicken Hot & Sour Soup.webp,
SCC007,Non Veg Soup,non-veg,Chicken Sweet Corn Soup,90,https://rahool.in/temp/sct/src/webp/7sw_Chicken Sweet Corn Soup.webp,
SCC008,Non Veg Soup,non-veg,Chicken Manchow Soup,90,https://rahool.in/temp/sct/src/webp/8sw_Chicken Manchow Soup.webp,
SCC009,Non Veg Soup,non-veg,Chicken Lemon Coriander Soup,85,https://rahool.in/temp/sct/src/webp/9sw_Chicken Lemon Coriander Soup.webp,
SCC010,Non Veg Soup,non-veg,Chicken Soup,80,https://rahool.in/temp/sct/src/webp/10sw_Chicken Soup.webp,
SCC011,Non Veg Roll,non-veg,Egg Roll,50,https://rahool.in/temp/sct/src/webp/11sw_Egg Roll.webp,
SCC012,Non Veg Roll,non-veg,Double Egg Roll,60,https://rahool.in/temp/sct/src/webp/12sw_Double Egg Roll.webp,
SCC013,Non Veg Roll,non-veg,Single Egg Chicken Roll,70,,
SCC014,Non Veg Roll,non-veg,Chicken Roll,60,https://rahool.in/temp/sct/src/webp/14sw_Chicken Roll.webp,
SCC015,Non Veg Roll,non-veg,Double Egg Chicken Roll,80,https://rahool.in/temp/sct/src/webp/15sw_Double Egg Chicken Roll.webp,
SCC016,Non Veg Roll,non-veg,Double Egg Chicken Cheese Roll,100,https://rahool.in/temp/sct/src/webp/16sw_Double Egg Chicken Cheese Roll.webp,
SCC017,Non Veg Roll,non-veg,Chicken Egg Tikka Roll,100,https://rahool.in/temp/sct/src/webp/17sw_Chicken Egg Tikka Roll.webp,
SCC018,Veg Roll, veg ,Veg Roll,50,https://rahool.in/temp/sct/src/webp/18sw_Veg Roll.webp,
SCC019,Veg Roll, veg ,Paneer Roll,70,https://rahool.in/temp/sct/src/webp/19sw_Paneer Roll.webp,
SCC020,Veg Roll, veg ,Paneer Cheese Roll,80,,
SCC021,Veg Roll, veg ,Mushroom Roll,75,https://rahool.in/temp/sct/src/webp/21sw_Mushroom Roll.webp,
SCC022,Veg Roll, veg ,Mix Roll,90,https://rahool.in/temp/sct/src/webp/22sw_Mix Roll.webp,
SCC023,Chinese Veg, veg ,Paneer Chilli (12 PC),160,,
SCC024,Chinese Veg, veg ,Paneer 65 (12PC),170,https://rahool.in/temp/sct/src/webp/24sw_Paneer 65 (12PC).webp,
SCC025,Chinese Veg, veg ,Veg Manchurian (12PC),140,https://rahool.in/temp/sct/src/webp/25sw_Veg Manchurian (12PC).webp,
SCC026,Chinese Veg, veg ,Paneer Hot Garlic Sausage (12PC),180,,
SCC027,Chinese Veg, veg ,Paneer Sweet Garlic Sausage (12PC),180,,
SCC028,Chinese Veg, veg ,Mushroom Chilli,170,https://rahool.in/temp/sct/src/webp/28sw_Mushroom Chilli.webp,
SCC029,Chinese Veg, veg ,Crispy Baby Corn Chilli,170,https://rahool.in/temp/sct/src/webp/29sw_Crispy Baby Corn Chilli.webp,
SCC030,Chinese Veg, veg ,Mushroom Salt Pepper,160,https://rahool.in/temp/sct/src/webp/30sw_Mushroom Salt Pepper.webp,
SCC031,Chinese Veg, veg ,Paneer Pakoda (8PC),150,https://rahool.in/temp/sct/src/webp/31sw_Paneer Pakoda (8PC).webp,
SCC032,Chinese Veg, veg ,Seasonal Gobi Manchurian Chilli,140,,
SCC033,Chinese Non Veg,non-veg,Chicken Chilli Boneless (8PC) - H,110,https://rahool.in/temp/sct/src/webp/33sw_Chicken Chilli Boneless (8PC) - H.webp,
SCC034,Chinese Non Veg,non-veg,Chicken Chilli Boneless (16PC) - F,200,https://rahool.in/temp/sct/src/webp/34sw_Chicken Chilli Boneless (16PC) - F.webp,
SCC035,Chinese Non Veg,non-veg,Chicken 65 (12PC),190,,
SCC036,Chinese Non Veg,non-veg,Crispy Honey Chicken (10PC),210,https://rahool.in/temp/sct/src/webp/36sw_Crispy Honey Chicken (10PC).webp,
SCC037,Chinese Non Veg,non-veg,Crispy Chicken (10PC),200,https://rahool.in/temp/sct/src/webp/37sw_Crispy Chicken (10PC).webp,
SCC038,Chinese Non Veg,non-veg,Chicken Kaleji Pot Chilli (8PC) - H,100,https://rahool.in/temp/sct/src/webp/38sw_Chicken Kaleji Pot Chilli (8PC) - H.webp,
SCC039,Chinese Non Veg,non-veg,Chicken Kaleji Pot Chilli (16PC) - F,180,https://rahool.in/temp/sct/src/webp/39sw_Chicken Kaleji Pot Chilli (16PC) - F.webp,
SCC040,Chinese Non Veg,non-veg,Chicken Kaleji Pot Pakoda (8PC) - H,100,https://rahool.in/temp/sct/src/webp/40sw_Chicken Kaleji Pot Pakoda (8PC) - H.webp,
SCC041,Chinese Non Veg,non-veg,Chicken Kaleji Pot Pakoda (16PC) - F,180,https://rahool.in/temp/sct/src/webp/41sw_Chicken Kaleji Pot Pakoda (16PC) - F.webp,
SCC042,Noodles (Non Veg),non-veg,Chicken Noodles - H,70,https://rahool.in/temp/sct/src/webp/42sw_Chicken Noodles - H.webp,
SCC043,Noodles (Non Veg),non-veg,Chicken Noodles - F,140,https://rahool.in/temp/sct/src/webp/43sw_Chicken Noodles - F.webp,
SCC044,Noodles (Non Veg),non-veg,Chicken Hot Garlic Noodles - H,80,https://rahool.in/temp/sct/src/webp/44sw_Chicken Hot Garlic Noodles - H.webp,
SCC045,Noodles (Non Veg),non-veg,Chicken Hot Garlic Noodles - F,150,https://rahool.in/temp/sct/src/webp/45sw_Chicken Hot Garlic Noodles - F.webp,
SCC046,Noodles (Non Veg),non-veg,Brown Chicken Garlic Noodles - H,100,https://rahool.in/temp/sct/src/webp/46sw_Brown Chicken Garlic Noodles - H.webp,
SCC047,Noodles (Non Veg),non-veg,Brown Chicken Garlic Noodles - F,170,https://rahool.in/temp/sct/src/webp/47sw_Brown Chicken Garlic Noodles - F.webp,
SCC048,Noodles (Non Veg),non-veg,Chicken Schezwan Noodles - H,80,https://rahool.in/temp/sct/src/webp/48sw_Chicken Schezwan Noodles - H.webp,
SCC049,Noodles (Non Veg),non-veg,Chicken Schezwan Noodles - F,150,https://rahool.in/temp/sct/src/webp/49sw_Chicken Schezwan Noodles - F.webp,
